instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
neos-4966258-blicks,0,0.0,3.727496736937951e-08,1,7.3321919441223145,0,1.0,1.0
neos-4966258-blicks,1,1.01,2.5832979276846582e-09,1,10.034903049468994,1,1.0,1.0
neos-4966258-blicks,1,1.1,5.448762646656268e-10,1,10.814605951309204,1,1.0,1.0
neos-4966258-blicks,1,11.0,2.0228044770699737e-11,1,10.842669010162354,1,1.0,1.0
neos-4966258-blicks,1,101.0,3.1327206527947237e-10,1,11.439150094985962,1,2.2657369926765885,3.945699023439908
neos-5221106-oparau,0,0.0,9.774882818344463e-09,1,1.4611780643463135,0,1.0,1.0
neos-5221106-oparau,1,1.01,2.0430888567024488e-08,0,3600.2749037742615,3,1.0,1.0
neos-5221106-oparau,1,1.1,3.812601775481045e-09,1,2.3364198207855225,1,1.0,1.0
neos-5221106-oparau,1,11.0,7.974449482728615e-09,1,2.2696239948272705,1,1.0,1.0
neos-5221106-oparau,1,101.0,4.563480407363737e-08,0,3600.6165709495544,3,1.0622113997740819,1.0
neos-827175,0,0.0,1.2838100153615605e-08,1,21.678826093673706,0,1.0,1.0
neos-827175,1,1.01,5.301240057441895e-11,1,42.100183963775635,1,1.0,1.0
neos-827175,1,1.1,1.4916318093606798e-11,1,50.8216598033905,1,1.0,1.0
neos-827175,1,11.0,2.0973351376458888e-11,1,80.7054328918457,1,1.0,1.0
neos-827175,1,101.0,1.8243845021033655e-11,1,93.57978391647339,1,9.106721307194348,1.0
neos-872648,0,0.0,1.0071154091376332e-08,1,48.38583183288574,0,1.0,1.0
neos-872648,1,1.01,0.0007215654019978436,0,3601.473664999008,2,1.0,1.0
neos-872648,1,1.1,4.325444338660201e-06,0,3601.4418449401855,2,1.0,1.0
neos-872648,1,11.0,0.0007215654019978436,0,3601.4907100200653,2,1.0,1.0
neos-872648,1,101.0,6.088709664264646e-09,1,3581.1024990081787,1,1.0,1.0
neos6,0,0.0,5.126969023700714e-09,1,3.2652230262756348,0,1.0,1.0
neos6,1,1.01,4.098927656065399e-11,1,6.970139026641846,1,1.0,1.0
neos6,1,1.1,7.123489177542155e-11,1,5.948584794998169,1,1.0,1.0
neos6,1,11.0,4.700879123328052e-11,1,6.444967031478882,1,1.0,1.0
neos6,1,101.0,2.0399052712513447e-11,1,6.034646987915039,1,1.0,1.0
nursesched-medium-hint03,0,0.0,1.2029773570938908e-08,1,5.7067248821258545,0,1.0,1.0
nursesched-medium-hint03,1,1.01,1.2060130825807232e-10,1,15.230207920074463,1,1.0,1.0
nursesched-medium-hint03,1,1.1,1.8743385978059194e-10,1,12.652717113494873,1,1.0,1.0
